tax_rate_percentage;description;manufacturer_recommended_price;sku;image_url_1;size;gtin;shoe_size_fr;retail_price_justification;name;morphogender;composition;color_normalized;color;category;model;brand;ankle_boot_type;closure_type;shoe_tip_type;stock;manufacturer_reference;washing_properties;variation_type;selling_price;manufacturing_country;size_country_origin;image_url_5;product_warranty_information;image_url_8;image_url_7;image_url_6;rod_height;image_url_4;image_url_3;image_url_2;size_guide;sales_justification;dimension;collection;calf_size;capacity;heel_height;is_variation
22;"un bel prodotto";109.8;126486-35-NERO;http://outlet.test3d0.it/img/9484/or/126486ne-3.jpg;35;126486-35-NERO;c_35;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-35-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9486/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9485/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-36-NERO;http://outlet.test3d0.it/img/9487/or/126486ne-3.jpg;36;126486-36-NERO;c_36;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-36-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9489/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9488/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-37-NERO;http://outlet.test3d0.it/img/9490/or/126486ne-3.jpg;37;126486-37-NERO;c_37.5;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-37-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9492/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9491/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-38-NERO;http://outlet.test3d0.it/img/9496/or/126486ne-3.jpg;38;126486-38-NERO;c_38-2-3;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-38-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9498/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9497/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-39-NERO;http://outlet.test3d0.it/img/9499/or/126486ne-3.jpg;39;126486-39-NERO;c_17;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-39-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9501/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9500/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-40-NERO;http://outlet.test3d0.it/img/9502/or/126486ne-3.jpg;40;126486-40-NERO;c_21;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-40-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9504/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9503/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126486-41-NERO;http://outlet.test3d0.it/img/9505/or/126486ne-3.jpg;41;126486-41-NERO;c_19;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";c_red;NERO;11527;126486-41-NERO;"LE MATTO";;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9507/or/126486ne-2.jpg;http://outlet.test3d0.it/img/9506/or/126486ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-36-GIALLO;http://outlet.test3d0.it/img/9989/or/126497gia.jpg;36;126497-36-GIALLO;c_36;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-36-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9990/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-37-GIALLO;http://outlet.test3d0.it/img/9991/or/126497gia.jpg;37;126497-37-GIALLO;c_37.5;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-37-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9992/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-38-GIALLO;http://outlet.test3d0.it/img/9993/or/126497gia.jpg;38;126497-38-GIALLO;c_38-2-3;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-38-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9994/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-39-GIALLO;http://outlet.test3d0.it/img/9995/or/126497gia.jpg;39;126497-39-GIALLO;c_17;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-39-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9996/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-40-GIALLO;http://outlet.test3d0.it/img/9997/or/126497gia.jpg;40;126497-40-GIALLO;c_21;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-40-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/9998/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126497-41-GIALLO;http://outlet.test3d0.it/img/9999/or/126497gia.jpg;41;126497-41-GIALLO;c_19;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"PELLE MADE IN ITALY";c_blue;GIALLO;11527;126497-41-GIALLO;"LE MATTO";;;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10000/or/126497gia-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126499-36-ROSSO;http://outlet.test3d0.it/img/10003/or/126499ro.jpg;36;126499-36-ROSSO;c_36;"Prezzo suggerito nei nostri negoz";"CHANEL DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";ROSSO;ROSSO;11527;126499-36-ROSSO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10006/or/126499ro-3.jpg;http://outlet.test3d0.it/img/10005/or/126499ro-2.jpg;http://outlet.test3d0.it/img/10004/or/126499ro-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126499-37-ROSSO;http://outlet.test3d0.it/img/10007/or/126499ro.jpg;37;126499-37-ROSSO;c_37.5;"Prezzo suggerito nei nostri negoz";"CHANEL DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";ROSSO;ROSSO;11527;126499-37-ROSSO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10010/or/126499ro-3.jpg;http://outlet.test3d0.it/img/10009/or/126499ro-2.jpg;http://outlet.test3d0.it/img/10008/or/126499ro-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126499-39-ROSSO;http://outlet.test3d0.it/img/10011/or/126499ro.jpg;39;126499-39-ROSSO;c_17;"Prezzo suggerito nei nostri negoz";"CHANEL DONNA";c_woman;"TACCO 9 CM MADE IN ITALY";ROSSO;ROSSO;11527;126499-39-ROSSO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10014/or/126499ro-3.jpg;http://outlet.test3d0.it/img/10013/or/126499ro-2.jpg;http://outlet.test3d0.it/img/10012/or/126499ro-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-35-NERO;http://outlet.test3d0.it/img/10019/or/126501ne.jpg;35;126501-35-NERO;c_35;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-35-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10022/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10021/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10020/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-36-NERO;http://outlet.test3d0.it/img/10023/or/126501ne.jpg;36;126501-36-NERO;c_36;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-36-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10026/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10025/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10024/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-37-NERO;http://outlet.test3d0.it/img/10027/or/126501ne.jpg;37;126501-37-NERO;c_37.5;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-37-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10030/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10029/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10028/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-38-NERO;http://outlet.test3d0.it/img/10031/or/126501ne.jpg;38;126501-38-NERO;c_38-2-3;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-38-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10034/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10033/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10032/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-39-NERO;http://outlet.test3d0.it/img/10035/or/126501ne.jpg;39;126501-39-NERO;c_17;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-39-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10038/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10037/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10036/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-40-NERO;http://outlet.test3d0.it/img/10039/or/126501ne.jpg;40;126501-40-NERO;c_21;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-40-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10042/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10041/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10040/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126501-41-NERO;http://outlet.test3d0.it/img/10043/or/126501ne.jpg;41;126501-41-NERO;c_19;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA";c_woman;"TACCO 11 CM MADE IN ITALY";c_red;NERO;11527;126501-41-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10046/or/126501ne-3.jpg;http://outlet.test3d0.it/img/10045/or/126501ne-2.jpg;http://outlet.test3d0.it/img/10044/or/126501ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126503-35-NERO;http://outlet.test3d0.it/img/10051/or/126503ne.jpg;38;126503-35-NERO;c_38-2-3;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"ZEPPA 7 CM MADE IN ITALY";c_red;NERO;11527;126503-35-NERO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10054/or/126503ne-3.jpg;http://outlet.test3d0.it/img/10053/or/126503ne-2.jpg;http://outlet.test3d0.it/img/10052/or/126503ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126503-35NERO;http://outlet.test3d0.it/img/10055/or/126503ne.jpg;35;126503-35NERO;c_35;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"ZEPPA 7 CM MADE IN ITALY";c_red;NERO;11527;126503-35NERO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10058/or/126503ne-3.jpg;http://outlet.test3d0.it/img/10057/or/126503ne-2.jpg;http://outlet.test3d0.it/img/10056/or/126503ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126503-36-NERO;http://outlet.test3d0.it/img/10063/or/126503ne.jpg;36;126503-36-NERO;c_36;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"ZEPPA 7 CM MADE IN ITALY";c_red;NERO;11527;126503-36-NERO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10066/or/126503ne-3.jpg;http://outlet.test3d0.it/img/10065/or/126503ne-2.jpg;http://outlet.test3d0.it/img/10064/or/126503ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126503-37-NERO;http://outlet.test3d0.it/img/10067/or/126503ne.jpg;37;126503-37-NERO;c_37.5;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"ZEPPA 7 CM MADE IN ITALY";c_red;NERO;11527;126503-37-NERO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10070/or/126503ne-3.jpg;http://outlet.test3d0.it/img/10069/or/126503ne-2.jpg;http://outlet.test3d0.it/img/10068/or/126503ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126503-41NERO;http://outlet.test3d0.it/img/10071/or/126503ne.jpg;41;126503-41NERO;c_19;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"ZEPPA 7 CM MADE IN ITALY";c_red;NERO;11527;126503-41NERO;LEMATTO;;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10074/or/126503ne-3.jpg;http://outlet.test3d0.it/img/10073/or/126503ne-2.jpg;http://outlet.test3d0.it/img/10072/or/126503ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-35-NERO;http://outlet.test3d0.it/img/10159/or/126611ne.jpg;35;126611-35-NERO;c_35;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-35-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10162/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10161/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10160/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-36-NERO;http://outlet.test3d0.it/img/10163/or/126611ne.jpg;36;126611-36-NERO;c_36;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-36-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10166/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10165/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10164/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-37-NERO;http://outlet.test3d0.it/img/10167/or/126611ne.jpg;37;126611-37-NERO;c_37.5;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-37-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10170/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10169/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10168/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-38-NERO;http://outlet.test3d0.it/img/10171/or/126611ne.jpg;38;126611-38-NERO;c_38-2-3;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-38-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10174/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10173/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10172/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-39-NERO;http://outlet.test3d0.it/img/10175/or/126611ne.jpg;39;126611-39-NERO;c_17;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-39-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10178/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10177/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10176/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-40-NERO;http://outlet.test3d0.it/img/10179/or/126611ne.jpg;40;126611-40-NERO;c_21;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-40-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10182/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10181/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10180/or/126611ne-1.jpg;;;;;;;;1
22;"un bel prodotto";109.8;126611-41-NERO;http://outlet.test3d0.it/img/10183/or/126611ne.jpg;41;126611-41-NERO;c_19;"Prezzo suggerito nei nostri negoz";"SANDALO DONNA CON ZEPPA";c_woman;"TACCO 9 CM. PLATEAU 2,5 CM. MADE IN ITALY";c_red;NERO;11527;126611-41-NERO;"LE MATTO";;;;;;;;;;;;;;;;;http://outlet.test3d0.it/img/10186/or/126611ne-3.jpg;http://outlet.test3d0.it/img/10185/or/126611ne-2.jpg;http://outlet.test3d0.it/img/10184/or/126611ne-1.jpg;;;;;;;;1
